Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level,Avg Spend Per Item,Recent Buyer,High Spender,Satisfaction Encoded,Membership Encoded,Loyalty Score
101,Female,29,New York,Gold,1120.2,14,4.6,True,25,Satisfied,80.01428571428572,1,1,3,2.0,0.7412698412698413
102,Male,34,Los Angeles,Silver,780.5,11,4.1,False,18,Neutral,70.95454545454545,1,1,2,1.0,0.5857142857142857
103,Female,43,Chicago,Bronze,510.75,9,3.4,True,42,Unsatisfied,56.75,0,0,1,0.0,0.23333333333333334
104,Male,30,San Francisco,Gold,1480.3,19,4.7,False,12,Satisfied,77.91052631578947,1,1,3,2.0,0.8238095238095238
105,Male,27,Miami,Silver,720.4,13,4.0,True,55,Unsatisfied,55.41538461538461,0,0,1,1.0,0.2507936507936508
106,Female,37,Houston,Bronze,440.8,8,3.1,False,22,Neutral,55.1,1,0,2,0.0,0.46031746031746035
107,Female,31,New York,Gold,1150.6,15,4.5,True,28,Satisfied,76.70666666666666,1,1,3,2.0,0.7222222222222222
108,Male,35,Los Angeles,Silver,800.9,12,4.2,False,14,Neutral,66.74166666666666,1,1,2,1.0,0.611111111111111
109,Female,41,Chicago,Bronze,495.25,10,3.6,True,40,Unsatisfied,49.525,0,0,1,0.0,0.24603174603174605
110,Male,28,San Francisco,Gold,1520.1,21,4.8,False,9,Satisfied,72.38571428571429,1,1,3,2.0,0.8428571428571429
111,Male,32,Miami,Silver,690.3,11,3.8,True,34,Unsatisfied,62.75454545454545,0,0,1,1.0,0.3841269841269841
112,Female,36,Houston,Bronze,470.5,7,3.2,False,20,Neutral,67.21428571428571,1,0,2,0.0,0.473015873015873
113,Female,30,New York,Gold,1200.8,16,4.3,True,21,Satisfied,75.05,1,1,3,2.0,0.7666666666666666
114,Male,33,Los Angeles,Silver,820.75,13,4.4,False,15,Satisfied,63.13461538461539,1,1,3,1.0,0.7047619047619048
115,Female,42,Chicago,Bronze,530.4,9,3.5,True,38,Unsatisfied,58.93333333333333,0,0,1,0.0,0.25873015873015875
116,Male,29,San Francisco,Gold,1360.2,18,4.9,False,11,Satisfied,75.56666666666666,1,1,3,2.0,0.8301587301587301
117,Male,26,Miami,Silver,700.6,12,3.7,True,48,Unsatisfied,58.38333333333333,0,0,1,1.0,0.29523809523809524
118,Female,38,Houston,Bronze,450.9,8,3.0,False,25,Neutral,56.3625,1,0,2,0.0,0.44126984126984126
119,Female,32,New York,Gold,1170.3,14,4.7,True,29,Satisfied,83.59285714285714,1,1,3,2.0,0.7158730158730159
120,Male,34,Los Angeles,Silver,790.2,11,4.0,False,16,Neutral,71.83636363636364,1,1,2,1.0,0.5984126984126984
121,Female,43,Chicago,Bronze,505.75,10,3.3,True,41,Unsatisfied,50.575,0,0,1,0.0,0.23968253968253966
122,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied,73.525,1,1,3,2.0,0.8174603174603174
123,Male,27,Miami,Silver,710.4,13,4.1,True,54,Unsatisfied,54.646153846153844,0,0,1,1.0,0.2571428571428571
124,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,61.542857142857144,1,0,2,0.0,0.4539682539682539
125,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied,76.03999999999999,1,1,3,2.0,0.7285714285714285
126,Male,35,Los Angeles,Silver,810.9,12,4.3,False,13,Neutral,67.575,1,1,2,1.0,0.6174603174603175
127,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied,53.916666666666664,0,0,1,0.0,0.2523809523809524
128,Male,28,San Francisco,Gold,1500.1,21,4.9,False,10,Satisfied,71.43333333333332,1,1,3,2.0,0.8365079365079364
129,Male,32,Miami,Silver,670.3,10,3.8,True,33,Unsatisfied,67.03,0,0,1,1.0,0.3904761904761904
130,Female,36,Houston,Bronze,460.5,8,3.1,False,19,Neutral,57.5625,1,0,2,0.0,0.4793650793650793
131,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied,74.425,1,1,3,2.0,0.7730158730158729
132,Male,33,Los Angeles,Silver,830.75,13,4.2,False,14,Satisfied,63.90384615384615,1,1,3,1.0,0.7111111111111111
133,Female,42,Chicago,Bronze,520.4,9,3.5,True,37,Unsatisfied,57.82222222222222,0,0,1,0.0,0.2650793650793651
134,Male,29,San Francisco,Gold,1370.2,18,4.7,False,10,Satisfied,76.12222222222222,1,1,3,2.0,0.8365079365079364
135,Male,26,Miami,Silver,690.6,12,3.9,True,47,Unsatisfied,57.550000000000004,0,0,1,1.0,0.30158730158730157
136,Female,38,Houston,Bronze,440.9,8,3.2,False,24,Neutral,55.1125,1,0,2,0.0,0.4476190476190476
137,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied,82.87857142857142,1,1,3,2.0,0.7603174603174603
138,Male,34,Los Angeles,Silver,800.2,11,4.1,False,17,Neutral,72.74545454545455,1,1,2,1.0,0.5920634920634921
139,Female,43,Chicago,Bronze,500.75,10,3.3,True,40,Unsatisfied,50.075,0,0,1,0.0,0.24603174603174605
140,Male,30,San Francisco,Gold,1460.5,20,4.8,False,12,Satisfied,73.025,1,1,3,2.0,0.8238095238095238
141,Male,27,Miami,Silver,700.4,13,4.0,True,53,Unsatisfied,53.87692307692308,0,0,1,1.0,0.26349206349206344
142,Female,37,Houston,Bronze,420.8,7,3.1,False,21,Neutral,60.114285714285714,1,0,2,0.0,0.4666666666666667
143,Female,31,New York,Gold,1130.6,15,4.5,True,26,Satisfied,75.37333333333332,1,1,3,2.0,0.7349206349206349
144,Male,35,Los Angeles,Silver,820.9,12,4.3,False,12,Neutral,68.40833333333333,1,1,2,1.0,0.6238095238095238
145,Female,41,Chicago,Bronze,480.25,9,3.6,True,38,Unsatisfied,53.361111111111114,0,0,1,0.0,0.25873015873015875
146,Male,28,San Francisco,Gold,1490.1,21,4.9,False,9,Satisfied,70.95714285714286,1,1,3,2.0,0.8428571428571429
147,Male,32,Miami,Silver,680.3,10,3.8,True,32,Unsatisfied,68.03,0,0,1,1.0,0.3968253968253968
148,Female,36,Houston,Bronze,470.5,8,3.0,False,18,Neutral,58.8125,1,0,2,0.0,0.48571428571428577
149,Female,30,New York,Gold,1180.8,16,4.7,True,19,Satisfied,73.8,1,1,3,2.0,0.7793650793650793
150,Male,34,Los Angeles,Silver,790.2,11,4.0,False,15,Neutral,71.83636363636364,1,1,2,1.0,0.6047619047619047
151,Female,43,Chicago,Bronze,505.75,10,3.3,True,39,Unsatisfied,50.575,0,0,1,0.0,0.2523809523809524
152,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied,73.525,1,1,3,2.0,0.8174603174603174
153,Male,27,Miami,Silver,710.4,13,4.1,True,54,Unsatisfied,54.646153846153844,0,0,1,1.0,0.2571428571428571
154,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,61.542857142857144,1,0,2,0.0,0.4539682539682539
155,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied,76.03999999999999,1,1,3,2.0,0.7285714285714285
156,Male,35,Los Angeles,Silver,810.9,12,4.3,False,13,Neutral,67.575,1,1,2,1.0,0.6174603174603175
157,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied,53.916666666666664,0,0,1,0.0,0.2523809523809524
158,Male,28,San Francisco,Gold,1500.1,21,4.9,False,10,Satisfied,71.43333333333332,1,1,3,2.0,0.8365079365079364
159,Male,32,Miami,Silver,670.3,10,3.8,True,33,Unsatisfied,67.03,0,0,1,1.0,0.3904761904761904
160,Female,36,Houston,Bronze,460.5,8,3.1,False,19,Neutral,57.5625,1,0,2,0.0,0.4793650793650793
161,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied,74.425,1,1,3,2.0,0.7730158730158729
162,Male,33,Los Angeles,Silver,830.75,13,4.2,False,14,Satisfied,63.90384615384615,1,1,3,1.0,0.7111111111111111
163,Female,42,Chicago,Bronze,520.4,9,3.5,True,37,Unsatisfied,57.82222222222222,0,0,1,0.0,0.2650793650793651
164,Male,29,San Francisco,Gold,1370.2,18,4.7,False,10,Satisfied,76.12222222222222,1,1,3,2.0,0.8365079365079364
165,Male,26,Miami,Silver,690.6,12,3.9,True,47,Unsatisfied,57.550000000000004,0,0,1,1.0,0.30158730158730157
166,Female,38,Houston,Bronze,440.9,8,3.2,False,24,Neutral,55.1125,1,0,2,0.0,0.4476190476190476
167,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied,82.87857142857142,1,1,3,2.0,0.7603174603174603
168,Male,34,Los Angeles,Silver,800.2,11,4.1,False,17,Neutral,72.74545454545455,1,1,2,1.0,0.5920634920634921
169,Female,43,Chicago,Bronze,500.75,10,3.3,True,40,Unsatisfied,50.075,0,0,1,0.0,0.24603174603174605
170,Male,30,San Francisco,Gold,1460.5,20,4.8,False,12,Satisfied,73.025,1,1,3,2.0,0.8238095238095238
171,Male,27,Miami,Silver,700.4,13,4.0,True,53,Unsatisfied,53.87692307692308,0,0,1,1.0,0.26349206349206344
172,Female,37,Houston,Bronze,420.8,7,3.1,False,21,Neutral,60.114285714285714,1,0,2,0.0,0.4666666666666667
173,Female,31,New York,Gold,1130.6,15,4.5,True,26,Satisfied,75.37333333333332,1,1,3,2.0,0.7349206349206349
174,Male,35,Los Angeles,Silver,820.9,12,4.3,False,12,Neutral,68.40833333333333,1,1,2,1.0,0.6238095238095238
175,Female,41,Chicago,Bronze,480.25,9,3.6,True,38,Unsatisfied,53.361111111111114,0,0,1,0.0,0.25873015873015875
176,Male,28,San Francisco,Gold,1490.1,21,4.9,False,9,Satisfied,70.95714285714286,1,1,3,2.0,0.8428571428571429
177,Male,32,Miami,Silver,680.3,10,3.8,True,32,Unsatisfied,68.03,0,0,1,1.0,0.3968253968253968
178,Female,36,Houston,Bronze,470.5,8,3.0,False,18,Neutral,58.8125,1,0,2,0.0,0.48571428571428577
179,Female,30,New York,Gold,1180.8,16,4.7,True,19,Satisfied,73.8,1,1,3,2.0,0.7793650793650793
180,Male,34,Los Angeles,Silver,790.2,11,4.0,False,15,Neutral,71.83636363636364,1,1,2,1.0,0.6047619047619047
181,Female,43,Chicago,Bronze,505.75,10,3.3,True,39,Unsatisfied,50.575,0,0,1,0.0,0.2523809523809524
182,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied,73.525,1,1,3,2.0,0.8174603174603174
183,Male,27,Miami,Silver,710.4,13,4.1,True,54,Unsatisfied,54.646153846153844,0,0,1,1.0,0.2571428571428571
184,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,61.542857142857144,1,0,2,0.0,0.4539682539682539
185,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied,76.03999999999999,1,1,3,2.0,0.7285714285714285
186,Male,35,Los Angeles,Silver,810.9,12,4.3,False,13,Neutral,67.575,1,1,2,1.0,0.6174603174603175
187,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied,53.916666666666664,0,0,1,0.0,0.2523809523809524
188,Male,28,San Francisco,Gold,1500.1,21,4.9,False,10,Satisfied,71.43333333333332,1,1,3,2.0,0.8365079365079364
189,Male,32,Miami,Silver,670.3,10,3.8,True,33,Unsatisfied,67.03,0,0,1,1.0,0.3904761904761904
190,Female,36,Houston,Bronze,460.5,8,3.1,False,19,Neutral,57.5625,1,0,2,0.0,0.4793650793650793
191,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied,74.425,1,1,3,2.0,0.7730158730158729
192,Male,33,Los Angeles,Silver,830.75,13,4.2,False,14,Satisfied,63.90384615384615,1,1,3,1.0,0.7111111111111111
193,Female,42,Chicago,Bronze,520.4,9,3.5,True,37,Unsatisfied,57.82222222222222,0,0,1,0.0,0.2650793650793651
194,Male,29,San Francisco,Gold,1370.2,18,4.7,False,10,Satisfied,76.12222222222222,1,1,3,2.0,0.8365079365079364
195,Male,26,Miami,Silver,690.6,12,3.9,True,47,Unsatisfied,57.550000000000004,0,0,1,1.0,0.30158730158730157
196,Female,38,Houston,Bronze,440.9,8,3.2,False,24,Neutral,55.1125,1,0,2,0.0,0.4476190476190476
197,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied,82.87857142857142,1,1,3,2.0,0.7603174603174603
198,Male,34,Los Angeles,Silver,800.2,11,4.1,False,17,Neutral,72.74545454545455,1,1,2,1.0,0.5920634920634921
199,Female,43,Chicago,Bronze,500.75,10,3.3,True,40,Unsatisfied,50.075,0,0,1,0.0,0.24603174603174605
200,Male,30,San Francisco,Gold,1460.5,20,4.8,False,12,Satisfied,73.025,1,1,3,2.0,0.8238095238095238
201,Male,27,Miami,Silver,700.4,13,4.0,True,53,Unsatisfied,53.87692307692308,0,0,1,1.0,0.26349206349206344
202,Female,37,Houston,Bronze,420.8,7,3.1,False,21,Neutral,60.114285714285714,1,0,2,0.0,0.4666666666666667
203,Female,31,New York,Gold,1130.6,15,4.5,True,26,Satisfied,75.37333333333332,1,1,3,2.0,0.7349206349206349
204,Male,35,Los Angeles,Silver,820.9,12,4.3,False,12,Neutral,68.40833333333333,1,1,2,1.0,0.6238095238095238
205,Female,41,Chicago,Bronze,480.25,9,3.6,True,38,Unsatisfied,53.361111111111114,0,0,1,0.0,0.25873015873015875
206,Male,28,San Francisco,Gold,1490.1,21,4.9,False,9,Satisfied,70.95714285714286,1,1,3,2.0,0.8428571428571429
207,Male,32,Miami,Silver,680.3,10,3.8,True,32,Unsatisfied,68.03,0,0,1,1.0,0.3968253968253968
208,Female,36,Houston,Bronze,470.5,8,3.0,False,18,Neutral,58.8125,1,0,2,0.0,0.48571428571428577
209,Female,30,New York,Gold,1180.8,16,4.7,True,19,Satisfied,73.8,1,1,3,2.0,0.7793650793650793
210,Male,34,Los Angeles,Silver,790.2,11,4.0,False,15,Neutral,71.83636363636364,1,1,2,1.0,0.6047619047619047
211,Female,43,Chicago,Bronze,505.75,10,3.3,True,39,Unsatisfied,50.575,0,0,1,0.0,0.2523809523809524
212,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied,73.525,1,1,3,2.0,0.8174603174603174
213,Male,27,Miami,Silver,710.4,13,4.1,True,54,Unsatisfied,54.646153846153844,0,0,1,1.0,0.2571428571428571
214,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,61.542857142857144,1,0,2,0.0,0.4539682539682539
215,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied,76.03999999999999,1,1,3,2.0,0.7285714285714285
216,Male,35,Los Angeles,Silver,810.9,12,4.3,False,13,Neutral,67.575,1,1,2,1.0,0.6174603174603175
